,identificador,fecha_prestamo,solicitud_prestamo,estado_prestamo,aceptacion_prestamo,meses_prestamo,razon_intereses,pago_mensual,grado,sub_grado,estado_verificacion,enlace,estado,pago_efectuado
0,48010226,May-15,35000.0,Current,35000.0, 36 months,13.33,1184.86,C,C3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=48010226,CA,9452.96
1,57693261,,30000.0,Current,30000.0, 36 months,,938.57,A,A5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57693261,NY,4679.7
2,59432726,Sep-15,15000.0,Current,15000.0, 36 months,,494.86,B,B5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59432726,PA,1969.83
3,53222800,Jul-15,9600.0,Current,9600.0, 36 months,,300.35,A,A5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53222800,OH,1793.68
4,57803010,Aug-15,8075.0,Current,8075.0, 36 months,19.19,296.78,,E3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57803010,TX,1178.51
5,63398019,Oct-15,14400.0,Current,14400.0, 60 months,13.99,334.99,,C4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63398019,AL,681.17
6,60850626,Sep-15,,Current,13000.0, 60 months,24.99,381.5,F,F4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60850626,CA,1126.45
7,46816139,Apr-15,7500.0,Current,7500.0, 36 months,13.33,253.9,C,C3,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46816139,GA,2025.65
8,63918356,Nov-15,8000.0,Current,8000.0, 36 months,,250.29,A,A5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63918356,MA,497.07
9,63651616,Nov-15,7200.0,Current,7200.0, 36 months,,241.18,C,C2,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63651616,TX,512.57
10,56069330,Jul-15,,Current,6200.0, 36 months,15.61,216.79,D,D1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56069330,VA,1073.2
11,39641145,Jan-15,21000.0,Late (31-120 days),21000.0, 36 months,,701.42,C,C1,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39641145,IN,5582.45
12,52311217,Jun-15,15000.0,,15000.0, 60 months,13.33,343.84,C,C3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=52311217,CO,15643.5
13,65775524,Nov-15,10000.0,Current,10000.0, 60 months,13.18,228.46,C,C3,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65775524,OK,217.48
14,57336468,Aug-15,21000.0,,21000.0, 36 months,,700.42,C,C1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57336468,CA,3487.76
15,41480201,Mar-15,12725.0,Fully Paid,12725.0, 60 months,17.86,322.17,D,D5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41480201,NC,14262.61
16,58390667,Aug-15,22900.0,Current,22900.0, 60 months,19.99,606.59,E,E4,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58390667,OR,2982.09
17,57155656,,4000.0,Current,4000.0, 36 months,,131.97,B,B5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57155656,MD,672.29
18,49218915,Jun-15,16875.0,Current,16875.0, 60 months,19.19,439.52,E,E3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=49218915,TX,2736.06
19,50364957,Jun-15,14400.0,Current,14400.0, 36 months,,446.35,A,A4,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=50364957,TX,3118.64
20,65985055,Dec-15,12000.0,Issued,12000.0, 36 months,,371.96,A,A4,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65985055,NV,0.0
21,61772655,Oct-15,20150.0,Current,20150.0, 36 months,,642.37,B,B2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61772655,SC,1274.47
22,59230683,Sep-15,21000.0,Current,21000.0, 36 months,,657.0,A,A5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59230683,GA,12609.59
23,58030770,Aug-15,13200.0,Current,13200.0, 36 months,,403.01,,A2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58030770,VA,2010.47
24,65676913,Nov-15,15000.0,Current,15000.0,,,457.97,A,A2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65676913,NY,447.57
25,63177012,,11250.0,Current,11250.0, 36 months,,377.38,C,C2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63177012,TX,738.9
26,41021489,Mar-15,16400.0,Current,16400.0, 60 months,,381.52,C,C4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41021489,OR,3789.71
27,60417140,,8400.0,Current,8400.0, 36 months,,262.8,A,A5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=60417140,CA,1047.52
28,43125650,Mar-15,28000.0,Current,28000.0, 60 months,19.52,734.38,E,E3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43125650,LA,7313.44
29,65662544,Nov-15,20000.0,Current,20000.0, 60 months,15.41,480.12,D,D1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65662544,CA,454.44
30,40298097,Feb-15,,Current,13000.0, 36 months,16.49,460.2,D,D3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40298097,TX,5038.38
31,66464411,Dec-15,18000.0,Current,18000.0, 60 months,15.41,432.11,D,,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66464411,CA,0.0
32,65404741,Nov-15,10000.0,Current,10000.0, 36 months,,329.72,B,,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65404741,IL,313.76
33,51880826,Jun-15,6000.0,Current,6000.0, 36 months,,196.41,B,B4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=51880826,NY,1347.39
34,59543019,Sep-15,24000.0,,24000.0, 60 months,21.99,662.72,F,F1,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59543019,DC,2621.56
35,57862311,Aug-15,21600.0,Current,21600.0, 36 months,,724.57,C,C2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57862311,NC,3607.62
36,61478852,,8400.0,Current,8400.0, 36 months,16.99,299.45,D,D3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61478852,FL,890.42
37,41183017,Feb-15,17550.0,Fully Paid,17550.0, 60 months,21.67,481.43,E,E5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41183017,WI,20450.2
38,46786916,May-15,6000.0,Current,6000.0, 36 months,,201.27,C,C2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46786916,TX,1431.89
39,65642870,Nov-15,12000.0,Current,12000.0, 36 months,,382.55,B,B2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65642870,FL,
40,66632123,Dec-15,21000.0,Current,21000.0, 36 months,13.67,714.37,C,C4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66632123,MD,682.47
41,52199534,Jun-15,12000.0,Current,12000.0, 60 months,,,A,A5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=52199534,TX,1693.57
42,39730671,Jan-15,35000.0,Current,35000.0, 60 months,,796.18,C,C2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39730671,CA,8732.72
43,56622510,Jul-15,3600.0,Current,3600.0, 36 months,16.99,128.34,D,D3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56622510,LA,642.83
44,65692571,Nov-15,13000.0,Current,13000.0, 60 months,,264.72,B,B1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65692571,FL,
45,46295185,Apr-15,11000.0,Current,11000.0, 36 months,,360.08,B,B4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46295185,FL,3227.29
46,58832358,Aug-15,9500.0,Current,9500.0, 36 months,,294.47,A,A4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58832358,TX,1197.04
47,53222282,Jul-15,18850.0,Current,18850.0, 60 months,20.99,509.85,E,E5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53222282,NY,3190.98
48,48276008,May-15,7500.0,,7500.0, 36 months,,239.1,B,B2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=48276008,OH,1908.98
49,39299787,Jan-15,29850.0,Current,29850.0, 60 months,16.49,733.69,D,D3,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=39299787,MI,8222.65
50,47551165,May-15,30000.0,Current,30000.0, 60 months,23.99,,F,F2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=47551165,NC,6862.98
51,61712601,Oct-15,18025.0,Current,18025.0, 60 months,,403.61,C,C1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61712601,MA,1229.28
52,65594568,Nov-15,2100.0,Current,2100.0,,,68.75,B,B4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65594568,OH,68.11
53,50567210,Jun-15,30000.0,Late (31-120 days),30000.0, 36 months,17.57,1078.12,D,,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=50567210,NC,3205.08
54,62347203,Oct-15,11200.0,Current,11200.0, 36 months,,399.26,D,D3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=62347203,MD,1176.64
55,43924642,Apr-15,18150.0,Current,18150.0, 60 months,17.57,456.66,,D4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43924642,WI,4074.51
56,41226723,Feb-15,15125.0,Current,15125.0, 60 months,16.99,375.82,,D3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=41226723,WI,3743.92
57,38448211,Jan-15,8000.0,Current,, 36 months,,253.18,B,B1,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38448211,MD,3034.31
58,63158279,Oct-15,7200.0,Current,, 36 months,,241.53,C,C2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63158279,KY,477.98
59,66520424,Dec-15,9800.0,Current,, 36 months,,315.12,B,B3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66520424,PA,0.0
60,38467857,Jan-15,10000.0,Fully Paid,10000.0, 36 months,,336.9,C,C2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=38467857,IN,11072.03
61,55968781,Aug-15,16750.0,Current,16750.0, 60 months,17.57,421.44,D,D4,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55968781,GA,2090.85
62,65089289,Dec-15,30000.0,Current,30000.0, 36 months,,989.14,B,B5,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65089289,NY,969.99
63,65403660,Nov-15,12500.0,Current,12500.0, 36 months,,387.46,A,A4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65403660,IL,374.86
64,40372163,Feb-15,25000.0,Current,25000.0, 60 months,17.86,632.94,,D5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40372163,NY,6937.53
65,53040428,Jul-15,7700.0,Current,7700.0, 36 months,,254.03,B,B5,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=53040428,FL,1514.32
66,59210835,Sep-15,,Current,15200.0, 60 months,,330.41,B,B4,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59210835,CA,1312.36
67,64872909,Nov-15,20000.0,Current,20000.0, 60 months,,450.88,C,C2,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=64872909,,880.78
68,58410618,Aug-15,35000.0,Current,35000.0, 36 months,16.99,1247.68,D,D3,,https://www.lendingclub.com/browse/loanDetail.action?loan_id=58410618,NY,4924.65
69,44755624,Apr-15,25000.0,Current,25000.0,,,505.6,A,A5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=44755624,MN,4033.84
70,55130401,Jul-15,4800.0,In Grace Period,4800.0, 36 months,16.99,171.11,D,D3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=55130401,CA,851.02
71,37978181,Jan-15,12000.0,Current,12000.0, 36 months,14.31,,C,C4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=37978181,TX,7548.35
72,43106337,Apr-15,35000.0,Current,35000.0, 60 months,,760.82,B,B4,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=43106337,WV,6826.01
73,65332148,Nov-15,24000.0,Current,24000.0, 60 months,13.18,548.29,C,C3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65332148,GA,1079.01
74,59199592,Sep-15,22800.0,Current,22800.0, 36 months,13.33,771.86,C,C3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=59199592,MO,3070.56
75,40582979,Feb-15,24000.0,Current,24000.0, 36 months,,790.74,B,,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40582979,SC,9501.41
76,44085228,Mar-15,16000.0,Current,16000.0, 60 months,18.84,413.65,E,E2,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=44085228,GA,3706.1
77,46777111,May-15,12000.0,Current,12000.0, 36 months,,392.81,B,,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46777111,CA,3135.15
78,46349070,Apr-15,8000.0,Fully Paid,8000.0, 36 months,,268.36,C,C2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46349070,IN,8535.35
79,46486249,Apr-15,19200.0,Current,19200.0, 60 months,,407.85,B,B3,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=46486249,MO,3241.49
80,61522878,Oct-15,18500.0,Current,18500.0, 60 months,,402.15,B,B4,Not Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61522878,CA,1178.21
81,63823540,Nov-15,14000.0,Current,14000.0, 60 months,17.57,352.25,D,,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63823540,IL,947.42
82,61394215,Oct-15,20750.0,Current,20750.0, 36 months,,661.49,B,,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=61394215,NY,1359.97
83,56009236,Jul-15,8200.0,Fully Paid,8200.0, 36 months,14.65,282.86,,C5,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56009236,NY,8549.16
84,44856133,Apr-15,20400.0,Current,20400.0, 60 months,16.99,506.89,D,D3,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=44856133,NY,4580.64
85,67838623,Dec-15,16000.0,Current,, 36 months,16.55,566.87,D,D2,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67838623,TX,0.0
86,63290338,Oct-15,13500.0,Current,13500.0, 60 months,23.99,388.29,F,F3,Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63290338,VA,659.63
87,56300327,Aug-15,24375.0,Current,24375.0, 60 months,22.99,687.01,F,,Source Verified,https://www.lendingclub.com/browse/loanDetail.action?loan_id=56300327,TN,3403.92
